group,prefix,error,reasoning,relevance,validness,newInformation
gpt_10,3098_2,1,1,2,1,0
gpt_10,3098_3,0,1,3,1,0
gpt_10,3098_4,0,3,3,1,3
gpt_10,3099_1,1,0,3,1,0
gpt_10,3099_2,0,1,3,1,1
gpt_10,3099_3,1,0,2,1,0
gpt_10,3099_4,0,1,3,1,1
org_1,3000_2,0,1,3,1,1
org_1,3000_3,1,1,1,1,1
org_1,3000_4,0,1,1,1,1
org_1,3001_1,0,1,3,1,2
org_1,3001_3,0,2,3,1,2
org_1,3001_4,0,1,3,1,1
org_1,3001_5,0,1,3,1,1
org_1,3002_1,0,0,3,1,0
org_1,3002_2,0,0,3,1,0
org_1,3003_1,0,1,3,1,1
org_1,3003_2,0,1,3,1,1
org_1,3003_3,0,1,2,1,1
org_1,3003_4,0,1,2,1,1
org_1,3004_1,0,0,3,1,1
org_1,3004_2,0,0,3,1,0
org_1,3004_3,0,1,3,1,1
org_1,3004_4,0,1,3,1,1
org_1,3005_2,0,1,3,1,2
org_1,3005_3,0,1,3,1,1
org_1,3005_4,0,1,3,1,1
org_1,3006_1,0,1,2,1,2
org_1,3006_2,0,1,2,1,1
org_1,3006_3,0,2,3,1,2
org_1,3006_4,0,2,3,1,1
org_1,3006_5,0,1,3,1,0
org_1,3007_1,0,1,3,1,1
org_1,3007_2,0,1,3,1,1
org_1,3007_4,0,1,2,1,2
org_1,3007_5,0,1,3,1,2
org_1,3008_2,0,1,2,1,1
org_1,3008_3,0,1,3,1,1
org_1,3008_4,0,1,2,1,1
org_1,3009_1,0,1,2,1,2
org_1,3009_3,0,1,1,1,1
org_1,3009_5,0,0,2,1,0
org_5,3040_1,0,2,3,1,1
org_5,3040_2,0,2,3,1,0
org_5,3040_3,0,1,1,1,0
org_5,3041_1,0,1,2,1,0
org_5,3041_2,1,1,2,1,0
org_5,3041_3,0,1,2,1,1
org_5,3042_1,1,1,2,1,0
org_5,3042_2,0,1,2,1,0
org_5,3042_3,0,2,3,1,2
org_5,3042_5,0,2,2,1,1
org_5,3043_2,1,1,2,1,0
org_5,3043_3,0,1,2,1,0
org_5,3043_4,0,1,1,1,0
org_5,3044_2,1,1,1,1,0
org_5,3044_3,0,1,2,1,0
org_5,3044_5,0,1,2,1,0
org_5,3044_6,0,1,1,1,1
org_5,3045_2,0,1,2,1,0
org_5,3045_4,0,1,2,1,1
org_5,3045_5,0,2,2,1,1
org_5,3046_1,0,1,2,1,0
org_5,3046_2,0,1,2,1,0
org_5,3046_3,0,1,2,1,0
org_5,3046_5,0,1,2,1,0
org_5,3046_6,1,1,1,1,1
org_5,3047_3,0,1,2,1,1
org_5,3048_2,0,0,1,1,0
org_5,3048_4,0,0,1,1,0
org_5,3049_1,0,1,1,1,1
org_5,3049_2,0,2,2,1,1
org_5,3049_4,0,1,1,1,0
org_5,3049_5,0,1,1,1,1
org_10,3090_1,1,3,3,1,2
org_10,3090_2,1,1,3,1,1
org_10,3090_3,1,0,3,1,0
org_10,3090_4,1,0,3,1,0
org_10,3090_5,1,0,3,1,0
org_10,3091_2,1,0,3,1,0
org_10,3091_3,0,2,3,1,3
org_10,3091_4,1,3,1,1,3
org_10,3091_5,0,3,1,1,3
org_10,3092_1,0,3,2,1,3
org_10,3092_2,1,0,3,1,0
org_10,3092_3,0,3,3,1,3
org_10,3092_5,1,3,3,1,2
org_10,3092_6,1,3,3,1,3
org_10,3092_7,1,0,3,1,1
org_10,3093_2,1,1,2,1,1
org_10,3093_3,1,0,3,1,0
org_10,3093_4,0,3,3,1,3
org_10,3093_5,0,2,3,1,2
org_10,3094_1,0,1,2,1,1
org_10,3094_2,1,0,3,1,0
org_10,3094_3,1,0,3,1,0
org_10,3094_4,0,3,2,1,3
org_10,3094_5,0,3,3,1,3
org_10,3095_4,0,3,2,1,3
org_10,3095_5,1,0,0,1,0
org_10,3096_1,0,3,3,1,3
org_10,3096_2,0,2,3,1,2
org_10,3096_4,1,3,3,1,2
org_10,3097_1,0,3,3,1,3
org_10,3097_2,0,3,2,1,3
org_10,3097_4,1,3,3,1,3
org_10,3098_1,1,0,3,1,0
org_10,3098_2,1,1,3,1,2
org_10,3098_3,0,3,3,1,3
org_10,3098_4,0,3,3,1,3
org_10,3099_1,0,3,3,1,3
org_10,3099_4,0,3,2,1,2
org_10,3099_5,0,3,2,1,3
org_10,3099_6,0,3,2,1,3
org_10,3099_7,0,3,3,1,3
full_1,3000_2,0,1,2,1,0
full_1,3000_4,0,2,3,1,0
full_1,3001_1,0,2,3,1,0
full_1,3001_3,0,2,1,1,0
full_1,3002_1,0,2,3,1,0
full_1,3003_1,0,2,3,1,0
full_1,3003_2,0,2,3,1,0
full_1,3003_4,0,3,3,1,0
full_1,3003_5,0,2,2,1,0
full_1,3004_1,0,2,3,1,0
full_1,3005_5,0,2,2,1,0
full_1,3006_2,0,2,3,1,0
full_1,3007_2,0,2,3,1,0
full_1,3008_1,0,1,3,1,0
full_1,3008_3,0,2,3,1,0
full_5,3040_1,0,3,3,1,2
full_5,3040_2,0,3,2,1,2
full_5,3040_3,0,3,2,1,1
full_5,3041_1,0,3,2,1,2
full_5,3041_2,0,2,2,1,0
full_5,3041_3,0,3,2,1,2
full_5,3041_4,1,2,2,1,0
full_5,3042_1,0,3,2,1,0
full_5,3042_2,0,3,3,1,0
full_5,3042_3,1,2,2,1,0
full_5,3042_4,0,2,1,1,3
full_5,3042_5,0,1,2,1,2
full_5,3042_6,1,1,3,1,0
full_5,3043_1,1,1,2,1,0
full_5,3043_2,0,2,2,1,0
full_5,3043_3,0,2,2,1,2
full_5,3044_1,0,3,2,1,2
full_5,3044_2,0,2,1,1,3
full_5,3044_3,1,2,2,1,2
full_5,3045_1,0,3,2,1,0
full_5,3045_2,0,2,1,1,3
full_5,3046_1,1,3,2,1,3
full_5,3046_2,1,2,1,1,2
full_5,3046_3,0,3,1,1,3
full_5,3046_4,1,2,2,1,0
full_5,3046_5,0,3,0,1,3
full_5,3046_6,0,3,0,1,3
full_5,3047_1,1,2,2,1,0
full_5,3047_2,0,2,1,1,2
full_5,3047_3,1,1,2,1,0
full_5,3047_4,1,3,1,1,3
full_5,3048_1,1,2,2,1,0
full_5,3048_2,0,3,2,1,2
full_5,3048_3,1,2,2,1,2
full_5,3048_4,1,2,2,1,1
full_5,3049_1,1,2,2,1,2
full_5,3049_2,0,2,1,1,0
full_5,3049_3,1,2,1,1,1
full_5,3049_4,0,3,1,1,3
full_5,3049_5,1,1,2,1,0
full_10,3090_1,0,1,3,1,2
full_10,3090_2,1,2,1,1,0
full_10,3090_3,1,2,1,1,0
full_10,3090_4,1,1,1,1,1
full_10,3091_1,0,3,2,1,3
full_10,3091_2,0,2,2,1,2
full_10,3091_3,0,2,1,1,1
full_10,3091_4,0,3,2,1,2
full_10,3091_5,1,2,2,1,2
full_10,3092_1,0,1,3,1,2
full_10,3092_2,0,2,2,1,2
full_10,3092_3,1,1,3,1,1
full_10,3092_4,1,1,2,1,0
full_10,3093_1,0,2,2,1,1
full_10,3093_2,0,2,3,1,1
full_10,3093_3,0,2,2,1,2
full_10,3094_1,0,2,2,1,2
full_10,3094_2,0,2,3,1,1
full_10,3095_1,1,1,3,1,1
full_10,3095_2,0,1,2,1,1
full_10,3095_3,0,1,2,1,1
full_10,3096_1,1,2,2,1,2
full_10,3096_2,0,1,1,1,0
full_10,3096_3,0,1,2,1,1
full_10,3096_4,0,2,2,1,2
full_10,3097_1,0,1,2,1,1
full_10,3097_2,0,2,2,1,1
full_10,3097_3,1,1,1,1,0
full_10,3097_4,0,2,1,1,1
full_10,3098_1,0,1,1,1,1
full_10,3098_2,1,1,1,1,1
full_10,3098_3,1,3,1,1,1
full_10,3098_4,0,3,3,1,2
full_10,3098_5,0,1,2,1,1
full_10,3099_1,0,1,2,1,1
full_10,3099_2,0,1,3,1,1
full_10,3099_3,0,1,2,1,1
full_10,3099_4,0,2,3,1,2
full_10,3099_5,0,1,3,1,0
gpt_1,3000_1,1,0,2,1,0
gpt_1,3000_2,0,2,3,1,2
gpt_1,3000_3,1,0,3,1,0
gpt_1,3000_4,0,3,2,1,3
gpt_1,3001_1,1,0,3,1,1
gpt_1,3001_2,0,2,1,1,3
gpt_1,3001_3,0,2,1,1,2
gpt_1,3001_4,1,0,3,1,0
gpt_1,3002_1,0,1,2,1,2
gpt_1,3002_2,0,1,3,1,3
gpt_1,3002_3,0,1,2,1,2
gpt_1,3003_1,1,0,3,1,0
gpt_1,3003_2,0,2,3,1,2
gpt_1,3003_3,1,0,3,1,0
gpt_1,3004_1,0,1,1,1,2
gpt_1,3004_2,0,2,2,1,2
gpt_1,3004_3,0,0,3,1,2
gpt_1,3004_4,0,1,1,1,3
gpt_1,3005_1,1,1,3,1,1
gpt_1,3005_2,1,1,3,1,2
gpt_1,3005_3,0,1,2,1,3
gpt_1,3005_4,1,0,3,1,0
gpt_1,3006_1,1,0,3,1,0
gpt_1,3006_2,1,0,3,1,0
gpt_1,3006_3,0,3,1,1,2
gpt_1,3007_1,0,2,3,1,2
gpt_1,3007_2,0,3,2,1,3
gpt_1,3007_3,0,2,2,1,2
gpt_1,3007_4,0,0,3,1,1
gpt_1,3008_1,1,0,3,1,0
gpt_1,3008_2,1,0,3,1,1
gpt_1,3009_1,0,2,3,1,3
gpt_1,3009_2,0,3,3,1,2
gpt_5,3040_3,0,2,1,1,3
gpt_5,3040_4,0,2,1,1,2
gpt_5,3041_1,0,1,1,1,1
gpt_5,3041_2,0,1,3,1,1
gpt_5,3041_3,0,1,3,1,1
gpt_5,3041_5,0,1,3,1,2
gpt_5,3042_1,0,2,3,1,1
gpt_5,3042_2,0,1,3,1,1
gpt_5,3042_3,0,1,3,1,1
gpt_5,3043_1,0,2,3,1,2
gpt_5,3043_2,0,3,3,1,3
gpt_5,3043_3,0,2,3,1,3
gpt_5,3043_4,0,2,3,1,2
gpt_5,3044_1,0,2,2,1,2
gpt_5,3044_2,0,1,2,1,2
gpt_5,3044_3,0,2,2,1,2
gpt_5,3045_1,0,3,3,1,2
gpt_5,3045_3,0,3,3,1,2
gpt_5,3046_2,0,3,3,1,3
gpt_5,3047_1,0,3,2,1,3
gpt_5,3047_2,0,2,3,1,3
gpt_5,3048_1,0,3,3,1,3
gpt_5,3049_1,0,1,3,1,1
gpt_5,3049_2,0,1,3,1,2
gpt_5,3049_3,0,2,3,1,2
gpt_10,3090_1,0,2,3,1,2
gpt_10,3090_2,0,2,3,1,2
gpt_10,3090_3,0,3,3,1,2
gpt_10,3090_4,0,1,3,1,1
gpt_10,3091_1,0,2,3,1,2
gpt_10,3091_2,0,1,2,1,2
gpt_10,3091_3,0,1,2,1,1
gpt_10,3091_4,0,3,3,1,3
gpt_10,3092_1,0,2,2,1,2
gpt_10,3092_2,0,2,2,1,2
gpt_10,3093_1,1,2,3,1,0
gpt_10,3093_2,0,2,2,1,2
gpt_10,3093_3,0,1,2,1,2
gpt_10,3094_1,0,2,3,1,2
gpt_10,3094_2,0,1,2,1,3
gpt_10,3094_3,1,2,3,1,0
gpt_10,3094_4,0,3,2,1,2
gpt_10,3095_1,0,3,1,1,3
gpt_10,3095_2,0,2,2,1,3
gpt_10,3095_3,0,2,3,1,2
gpt_10,3096_1,0,3,2,1,2
gpt_10,3096_2,0,1,1,1,2
gpt_10,3096_3,0,2,2,1,2
gpt_10,3096_4,0,3,2,1,3
gpt_10,3096_5,0,1,1,1,1
gpt_10,3097_1,0,3,3,1,2
gpt_10,3097_2,0,3,3,1,2
gpt_10,3097_3,1,3,3,1,0
gpt_10,3097_4,0,1,1,1,3
gpt_10,3097_5,0,0,0,1,3
gpt_10,3098_1,0,2,2,1,2
gpt_10,3098_2,0,3,3,1,2
gpt_10,3098_3,0,2,3,1,0
gpt_10,3098_4,0,3,3,1,3
gpt_10,3099_1,1,2,3,1,0
gpt_10,3099_2,0,3,3,1,1
gpt_10,3099_3,0,2,3,1,1
gpt_10,3099_4,0,3,2,1,3
org_1,3000_2,0,0,3,1,2
org_1,3000_3,0,0,1,1,1
org_1,3000_4,0,1,1,1,2
org_1,3001_1,0,2,2,1,2
org_1,3001_2,0,1,2,1,1
org_1,3001_3,0,2,2,1,2
org_1,3001_4,1,1,2,1,1
org_1,3001_5,0,2,2,1,2
org_1,3003_1,0,2,2,1,2
org_1,3003_2,0,1,2,1,1
org_1,3003_3,0,2,2,1,2
org_1,3003_4,0,1,2,1,1
org_1,3004_2,0,1,2,1,1
org_1,3004_3,0,2,2,1,2
org_1,3004_4,0,1,2,1,1
org_1,3005_1,0,1,2,1,1
org_1,3005_2,0,1,2,1,1
org_1,3005_3,0,1,1,1,1
org_1,3005_4,1,1,2,1,0
org_1,3006_1,0,2,2,1,2
org_1,3006_2,1,0,2,1,1
org_1,3006_3,0,2,2,1,2
org_1,3006_4,0,1,2,1,1
org_1,3006_6,0,1,1,1,1
org_1,3007_1,0,1,2,1,2
org_1,3007_2,0,2,2,1,2
org_1,3007_4,0,1,2,1,2
org_1,3007_5,0,2,2,1,2
org_1,3008_2,0,2,3,1,2
org_1,3008_3,0,1,3,1,2
org_1,3009_2,0,1,2,1,1
org_1,3009_3,0,1,2,1,1
org_1,3009_5,0,1,2,1,1
org_5,3040_1,0,1,3,1,0
org_5,3040_3,0,2,3,1,0
org_5,3040_4,0,0,3,1,0
org_5,3041_2,0,2,3,1,0
org_5,3041_3,1,1,3,1,0
org_5,3041_4,1,2,1,1,2
org_5,3041_5,0,1,3,1,1
org_5,3041_6,0,0,3,1,0
org_5,3042_1,0,3,3,1,3
org_5,3042_2,0,0,3,1,0
org_5,3042_3,0,1,2,1,1
org_5,3042_4,0,0,3,1,0
org_5,3042_5,0,1,2,1,1
org_5,3043_2,0,0,3,1,0
org_5,3043_3,0,0,3,1,0
org_5,3043_4,1,0,3,1,0
org_5,3044_1,0,1,3,1,0
org_5,3044_4,0,1,2,1,1
org_5,3044_5,0,1,2,1,0
org_5,3044_6,0,2,1,1,1
org_5,3045_2,0,1,3,1,0
org_5,3045_3,1,0,3,1,0
org_5,3045_5,0,2,3,1,0
org_5,3046_2,0,0,3,1,0
org_5,3046_4,0,0,3,1,0
org_5,3046_5,1,1,2,1,0
org_5,3046_6,1,0,3,1,0
org_5,3046_7,0,2,1,1,1
org_5,3047_1,1,0,3,1,0
org_5,3047_2,0,1,3,1,0
org_5,3047_3,0,1,2,1,1
org_5,3048_1,1,0,3,1,0
org_5,3048_2,0,3,3,1,2
org_5,3048_3,1,0,3,1,0
org_5,3048_4,0,2,3,1,0
org_5,3048_5,1,0,3,1,0
org_5,3049_1,0,2,2,1,0
org_5,3049_2,0,1,3,1,0
org_5,3049_4,0,1,0,1,0
org_5,3049_5,0,1,0,1,0
org_5,3049_6,0,0,3,1,0
org_10,3090_1,0,3,3,1,1
org_10,3090_2,0,2,3,1,2
org_10,3090_4,0,1,2,1,1
org_10,3090_5,1,1,1,1,0
org_10,3091_1,1,3,3,1,2
org_10,3091_4,0,2,2,1,2
org_10,3091_5,0,3,3,1,2
org_10,3092_1,0,2,2,1,2
org_10,3092_3,0,2,3,1,2
org_10,3092_4,0,3,2,1,2
org_10,3092_5,0,3,3,1,3
org_10,3093_2,0,1,0,1,0
org_10,3093_4,0,2,3,1,1
org_10,3094_1,0,2,2,1,2
org_10,3094_5,0,2,2,1,1
org_10,3095_2,0,1,2,1,0
org_10,3095_4,0,1,1,1,1
org_10,3096_1,0,1,2,1,0
org_10,3096_2,0,1,3,1,0
org_10,3096_3,0,0,1,1,0
org_10,3096_4,0,2,2,1,1
org_10,3097_2,0,3,3,1,2
org_10,3097_3,0,1,1,1,1
org_10,3097_5,0,1,1,1,1
org_10,3098_1,0,3,3,1,2
org_10,3098_2,0,3,3,1,3
org_10,3098_3,0,2,3,1,1
org_10,3098_4,0,3,3,1,2
org_10,3099_1,0,1,1,1,2
org_10,3099_2,0,3,2,1,3
org_10,3099_3,0,2,3,1,2
org_10,3099_4,0,2,3,1,1
org_10,3099_5,0,3,1,1,2
org_10,3099_6,0,3,3,1,3
org_10,3099_7,0,3,3,1,2
full_1,3000_1,0,1,0,1,1
full_1,3000_2,0,2,3,1,2
full_1,3000_3,1,2,3,1,2
full_1,3000_4,0,2,3,1,1
full_1,3001_1,0,2,3,1,2
full_1,3001_2,0,2,2,1,2
full_1,3001_3,0,2,3,1,1
full_1,3002_1,0,2,2,1,2
full_1,3002_2,1,0,1,1,0
full_1,3002_3,0,1,0,1,3
full_1,3003_1,0,2,2,1,2
full_1,3003_2,0,2,2,1,1
full_1,3003_3,0,3,2,1,3
full_1,3003_4,1,1,2,1,0
full_1,3004_1,0,2,3,1,2
full_1,3004_2,0,1,1,1,2
full_1,3004_3,0,1,2,1,1
full_1,3004_4,0,2,2,1,2
full_1,3004_6,0,1,2,1,2
full_1,3005_1,0,1,2,1,1
full_1,3005_2,0,1,2,1,1
full_1,3005_3,0,2,2,1,2
full_1,3005_4,0,1,3,1,2
full_1,3005_5,0,1,2,1,1
full_1,3005_6,0,1,0,1,2
full_1,3006_1,0,2,3,1,2
full_1,3006_2,0,2,2,1,1
full_1,3006_3,0,2,3,1,2
full_1,3006_4,0,2,2,1,2
full_1,3007_1,0,2,1,1,3
full_1,3007_2,0,1,2,1,2
full_1,3007_3,0,3,3,1,1
full_1,3007_4,0,2,0,1,2
full_1,3008_1,0,2,3,1,2
full_1,3008_2,0,2,3,1,2
full_1,3008_3,1,2,2,1,1
full_1,3009_1,0,3,2,1,2
full_1,3009_2,0,2,1,1,2
full_1,3009_3,0,3,2,1,2
full_5,3040_1,0,2,3,1,1
full_5,3040_2,0,2,2,1,2
full_5,3040_3,0,1,2,1,0
full_5,3041_1,0,2,3,1,0
full_5,3041_2,0,2,3,1,0
full_5,3041_3,0,1,2,1,0
full_5,3041_4,0,1,2,1,0
full_5,3042_1,0,2,3,1,0
full_5,3042_2,0,2,2,1,1
full_5,3042_3,0,2,2,1,1
full_5,3042_4,0,2,1,1,2
full_5,3042_5,0,2,2,1,1
full_5,3043_1,1,1,2,1,0
full_5,3043_2,1,1,2,1,0
full_5,3044_1,0,1,1,1,0
full_5,3044_2,0,2,2,1,1
full_5,3044_3,0,1,1,1,1
full_5,3045_1,0,3,3,1,1
full_5,3045_2,0,2,3,1,1
full_5,3046_1,1,1,2,1,0
full_5,3046_2,1,1,1,1,1
full_5,3046_3,1,2,1,1,1
full_5,3046_4,1,0,2,1,0
full_5,3046_6,0,1,1,1,0
full_5,3047_1,0,2,2,1,2
full_5,3047_2,0,3,2,1,2
full_5,3047_3,1,1,2,1,0
full_5,3047_4,0,2,2,1,0
full_5,3048_1,0,1,2,1,1
full_5,3048_2,0,1,3,1,0
full_5,3048_3,0,2,1,1,1
full_5,3049_1,0,2,2,1,1
full_5,3049_2,0,2,2,1,1
full_5,3049_3,0,2,3,1,1
full_5,3049_4,0,2,1,1,2
full_5,3049_5,1,1,2,1,0
full_10,3090_1,0,2,0,1,2
full_10,3090_3,0,1,3,1,1
full_10,3090_4,0,2,1,1,2
full_10,3091_2,0,2,3,1,2
full_10,3091_3,0,1,0,1,2
full_10,3091_4,0,2,3,1,2
full_10,3091_5,0,2,2,1,2
full_10,3092_2,0,2,3,1,2
full_10,3093_1,0,2,2,1,2
full_10,3093_2,0,2,3,1,2
full_10,3093_3,0,3,2,1,3
full_10,3094_1,0,2,3,1,2
full_10,3094_2,0,2,3,1,2
full_10,3095_1,0,1,2,1,2
full_10,3095_2,0,2,2,1,1
full_10,3095_3,0,2,2,1,2
full_10,3096_1,0,2,2,1,2
full_10,3096_2,0,2,2,1,2
full_10,3096_3,0,2,2,1,2
full_10,3096_4,0,1,3,1,1
full_10,3097_1,0,2,2,1,2
full_10,3097_2,0,2,3,1,2
full_10,3097_3,0,2,1,1,2
full_10,3097_4,0,2,3,1,2
full_10,3098_1,0,1,2,1,1
full_10,3098_2,0,1,2,1,2
full_10,3098_3,0,1,1,1,1
full_10,3098_4,0,2,1,1,2
full_10,3098_5,0,2,2,1,1
full_10,3099_1,0,1,3,1,1
full_10,3099_2,0,1,3,1,1
full_10,3099_4,0,0,3,1,2
full_10,3099_5,0,1,2,1,2
gpt_1,3000_1,1,2,2,1,1
gpt_1,3000_2,0,2,2,1,2
gpt_1,3000_3,0,2,2,1,2
